Ref,Qty,Description,Value / Spec,Package,Source / PN,Status,Lead,Notes
,,=== POWER: 12V ENTRY (memory/dash-pcb-altium-instructions.md 1.1) ===,,,,,,
F1,1,Resettable fuse,2A hold / 4A trip / 30V,1812,spec — select at capture,Commodity,Stock,Input draw ~0.55A; 2A gives wide margin per rigor rule 5
Q1,1,P-channel MOSFET reverse-polarity protect,-30V / >=5A / logic level,SOT-23 or DPAK,DMP3056L,Active,Stock,Same circuit as the wheel — copy the sheet
R1,1,P-FET gate pulldown,10k 1%,0402,spec,Commodity,Stock,
D5,1,Zener gate clamp,12V 500mW,SOD-323,spec,Commodity,Stock,
D1,1,TVS unidirectional,SMBJ33A,SMB,SMBJ33A,Active,Stock,"Verify measured clamp vs LMR33630 42V abs-max; drop to SMBJ26A if needed"
C1,1,Input decoupling,100nF 50V,0603,spec,Commodity,Stock,
U1,1,Synchronous buck 12V->5V,5V / 2A / 400kHz / 36Vin,SO-8 PowerPAD (DDA),LMR33630ADDAR,Active,Stock,"Downsized 3A->2A in Rev B (wheel no longer fed from here). Hot loop <20mm2. Alt: TPS54331"
L1,1,Buck inductor,10uH / Isat >=3A,shielded 5-6mm,spec — select at capture,Commodity,Stock,CONFIRM against LMR33630 datasheet 5V table
C2;C3,2,Buck input capacitor,22uF 50V X7R,1210,spec,Commodity,Stock,50V for load-dump margin
C4;C5,2,Buck output capacitor,47uF 16V X7R,1210,spec,Commodity,Stock,
U2,1,Synchronous buck 12V->3.3V,3.3V / 2A / 3.8-32Vin,TSOT-26,AP63203WU-7,Active,Stock,"Fed from +12V_P (not +5V) to unload the 5V buck. Sized by the 1.2A display backlight"
L2,1,Buck inductor,4.7uH / Isat >=3A,shielded,spec — select at capture,Commodity,Stock,CONFIRM against AP63203 datasheet
C6;C7,2,3V3 buck input cap,10uF 50V X7R,1206,spec,Commodity,Stock,
C8;C9,2,3V3 buck output cap,22uF 16V X7R,0805,spec,Commodity,Stock,
FB1,1,Ferrite bead for VDDA,600 ohm @ 100MHz,0603,spec,Commodity,Stock,
C10;C11,2,VDDA decoupling,1uF + 100nF,0603,spec,Commodity,Stock,
F2,1,Sensor supply fuse,200mA hold,0805,spec,Commodity,Stock,Protects +5V_SENS at J2
D2,1,Sensor supply TVS,SMBJ5.0A,SMB,SMBJ5.0A,Active,Stock,At J2
R2;R3,2,12V sense divider,47k + 10k 1%,0402,spec,Commodity,Stock,-> PB0
R4;R5,2,5V sense divider,10k + 10k 1%,0402,spec,Commodity,Stock,-> PB1
C12;C13,2,Sense filter,100nF,0402,spec,Commodity,Stock,
TP1-TP4,4,Test points,+12V_P / +5V / +3V3 / GND,TP pad,n/a,n/a,n/a,
,,=== CAN ===,,,,,,
U3,1,CAN transceiver,5V supply / 3.3V VIO,SO-8,TJA1051T/3,Active,Stock,No paddle circuits on this board
C14;C15,2,Transceiver decoupling,100nF,0402,spec,Commodity,Stock,
D3,1,CAN bus TVS,dual-line 24V,SOT-23,PESD2CAN,Active,Stock,
R_T1;R_T2,2,Split termination,60.4 ohm 1%,0805,spec,Commodity,Stock,DNP — populate only if dash is the physical end of bus
C_T1,1,Split termination cap,4.7nF,0603,spec,Commodity,Stock,DNP
,,=== MCU ===,,,,,,
U4,1,Microcontroller,STM32G474RET6,LQFP-64,LCSC C521608,Active,Stock,Same part as the wheel — one platform one codebase
C16-C21,6,MCU decoupling,100nF,0402,spec,Commodity,Stock,
C22,1,MCU bulk,4.7uF 16V,0805,spec,Commodity,Stock,
C23,1,NRST cap,100nF,0402,spec,Commodity,Stock,
R6,1,BOOT0 pulldown,10k,0402,spec,Commodity,Stock,
J5,1,Debug UART,JST-GH 3-pin,SM03B-GHS-TB,spec,Commodity,Stock,
,,=== USB-C (DFU / config) ===,,,,,,
