Ref,Qty,Description,Value / Spec,Package,Source / PN,Status,Lead,Notes
,,=== POWER: 12V ENTRY (memory/wheel-pcb-altium-instructions.md 3.1) ===,,,,,,
F1,1,Resettable fuse,1.1A hold / 2.2A trip / 30V,1206,spec — select at capture,Commodity,Stock,"Bourns MF-MSMF110 class. Hold >= 1.5x the 0.29A input draw with wide margin"
Q1,1,P-channel MOSFET reverse-polarity protect,**-40V or -60V** / >=3A / logic level,SOT-23,"DMP3056L works but is thin; prefer a -40V/-60V logic-level P-FET",Active,Stock,"DMP3056L VDSS -30V leaves only ~6V margin against a -24V reverse jump start (rigor rule 5). Same package and circuit; upgrade the rating. See datasheet-verification.md 5D"
R1,1,P-FET gate pulldown,10k 1%,0402,spec,Commodity,Stock,
D5,1,Zener gate clamp,12V 500mW,SOD-323,spec,Commodity,Stock,Protects Q1 Vgs during load dump
D1,1,TVS unidirectional,SMBJ33A 33V standoff / VC 53.3V @ 11.26A,SMB (DO-214AA),SMBJ33A,Active,Stock,"KEEP this TVS -- 33V standoff clears jump start. It is the BUCK that had to change: 53.3V clamp needs a 60V-class converter (U1). Do not downsize the TVS to chase a low-voltage buck; no SMBJ fits between jump-start standoff and a 35-42V abs max"
U1,1,Synchronous buck 12V->5V,"5V out / >=1A / **60V-class input**",TBD,"CANDIDATE: TI LMR36015 (4.2-60V / 66V tol / 1.5A) LCSC C2863325 -- VERIFY DATASHEET BEFORE ADOPTING",Active,Stock,"*** AP63205 REJECTED: 35V abs max vs the 53.3V SMBJ33A clamp -- the TVS would let this part die. Same 60V part now also fits the dash, so one converter across both boards. See datasheet-verification.md section 5."
L1,1,Power inductor,per chosen buck reference design,TBD,spec -- select at capture,Commodity,Stock,"Value depends on the 60V buck finally chosen; do not carry over the AP63205 figure"
C1;C2,2,Buck input capacitor,10uF 50V X7R,1206,spec,Commodity,Stock,50V rating is deliberate: 12V rail + load-dump margin (rigor rule 5)
C3;C4,2,Buck output capacitor,22uF 16V X7R,0805,spec,Commodity,Stock,
C5,1,Input bulk / TVS decoupling,100nF 50V X7R,0603,spec,Commodity,Stock,At J1 side of protection
U2,1,LDO 5V->3.3V,3.3V / >=200mA / **CERAMIC-STABLE**,SOT-23-5,"SELECTION OPEN: AP2112K-3.3 class (ceramic-stable). AMS1117 only if a TANTALUM output cap is used",Active,Stock,"*** AMS1117 + ceramic output cap can OSCILLATE: its datasheet specifies 22uF TANTALUM and the loop depends on that ESR. Load is only ~100mA. See datasheet-verification.md 5C"
C6,1,LDO input cap,10uF 16V X7R,0805,spec,Commodity,Stock,
C7,1,LDO output cap,per chosen LDO (ceramic if ceramic-stable LDO; else 22uF TANTALUM),0805,spec -- select with the LDO,Commodity,Stock,"Do NOT put a low-ESR ceramic on an AMS1117. See datasheet-verification.md 5C"
FB1,1,Ferrite bead for VDDA,600 ohm @ 100MHz / >=500mA,0603,spec,Commodity,Stock,
C8;C9,2,VDDA decoupling,1uF + 100nF,0603,spec,Commodity,Stock,Within 5mm of VDDA pin
R2;R3,2,12V sense divider,47k + 10k 1%,0402,spec,Commodity,Stock,V12_SENSE -> PA0
R4;R5,2,5V sense divider,10k + 10k 1%,0402,spec,Commodity,Stock,V5_SENSE -> PA1
C10;C11,2,Sense filter caps,100nF,0402,spec,Commodity,Stock,At the ADC pins
TP1-TP4,4,Test points,+12V_P / +5V / +3V3 / GND,TP pad,n/a,n/a,n/a,GND x2 as a scope-spring loop
,,=== CAN (3.3) ===,,,,,,
U3,1,CAN transceiver,5V supply / 3.3V VIO / 5Mbit,SO-8,TJA1051T/3,Active,Stock,Second source: SIT1051T/3 (LCSC)
C12;C13,2,Transceiver decoupling,100nF,0402,spec,Commodity,Stock,One at VCC one at VIO
D2,1,CAN bus TVS dual-line,24V standoff,SOT-23,PESD2CAN,Active,Stock,Alternative NUP2105L
R_T1;R_T2,2,Split termination,60.4 ohm 1% 0.25W,0805,spec,Commodity,Stock,DNP — populate only if wheel is the physical end of bus
C_T1,1,Split termination cap,4.7nF 50V,0603,spec,Commodity,Stock,DNP — see above
,,=== PADDLES (passthrough + sense) ===,,,,,,
D3;D4,2,Paddle line TVS bidirectional,SMAJ24CA,SMA (DO-214AC),SMAJ24CA,Active,Stock,At the connector. Through-path is copper only
R6;R7,2,Paddle sense tap,100k 1%,0402,spec,Commodity,Stock,<50uA influence on the ECU circuit
C14;C15,2,Paddle sense filter,1nF,0402,spec,Commodity,Stock,At MCU pin
,,=== MCU (3.2) ===,,,,,,
U4,1,Microcontroller,STM32G474RET6 170MHz FDCAN USB,LQFP-64,LCSC C521608,Active,Stock,~$3.93. JLCPCB-assemblable
C16-C21,6,MCU decoupling,100nF,0402,spec,Commodity,Stock,One per VDD pin — place under/adjacent to each pin
C22,1,MCU bulk,4.7uF 16V X7R,0805,spec,Commodity,Stock,
C23,1,NRST capacitor,100nF,0402,spec,Commodity,Stock,
R8,0,**DELETED - BOOT0 pulldown**,do not fit,n/a,n/a,REMOVED,n/a,"*** HARMFUL: PB8-BOOT0 is also FDCAN1_RX. A pulldown fights the transceiver RXD output. BOOT0 must come from the nBOOT0 option bit (nBOOT_SEL=1), re-checked after any mass erase. See datasheet-verification.md defect 1.3"
J4,1,Debug UART connector,JST-GH 3-pin,SM03B-GHS-TB,spec,Commodity,Stock,TX/RX/GND
,,=== USB-C (sim variant / DFU) ===,,,,,,
J2,1,USB-C receptacle,USB 2.0 16-pin,SMD,LCSC C165948 (HRO TYPE-C-31-M-12),Active,Stock,
U5,1,USB ESD protection,4-line / USB2.0,SOT-23-6,USBLC6-2SC6,Active,Stock,Fitted in BOTH variants — see sim doc 2
R9;R10,2,CC pull-downs,5.1k 1%,0402,spec,Commodity,Stock,Sets UFP default (500mA) — firmware LED cap depends on this
D6,1,VBUS OR-ing Schottky,BAT60A 10V/3A low Vf,SOD-123,BAT60A,Active,Stock,Into the 5V rail DOWNSTREAM of the buck
R_VBUS,1,VBUS enable link,0 ohm,0603,spec,Commodity,Stock,DNP in CAR / FITTED in SIM
R11;C24,2,Shield termination,1M + 4.7nF,0402,spec,Commodity,Stock,
,,=== LEDS (3.5) ===,,,,,,
U6,1,Level-shift buffer for LED data,74AHCT1G125 single buffer 5V,SOT-353,74AHCT1G125,Active,Stock,"AHCT is mandatory: TTL VIH 2.0V legally accepts 3.3V logic"
R12,1,LED data series resistor,300 ohm,0402,spec,Commodity,Stock,At the driver
LED1-LED16,16,Shift-light bar,WS2812B-2020 addressable RGB,2020 (2.2x2.0mm),LCSC C965555,Active,Stock,~$0.05 ea. Left-to-right chain order
LED17-LED20,4,TC bar,WS2812B-2020,2020,LCSC C965555,Active,Stock,Left bar (driver mnemonic: left = traction)
LED21-LED24,4,Lockup bar,WS2812B-2020,2020,LCSC C965555,Active,Stock,Right bar
C25-C48,24,LED decoupling,100nF,0402,spec,Commodity,Stock,One per LED
C49;C50,2,LED bulk,100uF 10V,1206 or elec,spec,Commodity,Stock,One per bar group
,,=== HMI: ENCODERS + BUTTONS (4.1 4.2 4.3 6) ===,,,,,,
ENC1-ENC4,4,Thumb encoder RIGHT-ANGLE,12PPR / 12 detent / push sw / 6mm flatted shaft,THT right angle,PEC09-2120F-S0012,Active,Stock,"871 in stock DigiKey $3.96/1. Shaft variants -2115F- (15mm) / -2125F- (25mm). REPLACES obsolete EVQ-WK4001"
ENC5-ENC6,2,Faceplate encoder,20PPR / 20 detent / high detent force / push sw,THT vertical bushing,PEC11H-4120F-S0020,Active,Stock,100k cycles. Bushing hole dia 9.5mm + anti-rotation slot in faceplate
SW1-SW6,6,Sealed tactile switch,IP67 / 5.2mm / 3.5-5N actuation,SMT,C&K KSC4 series,Active,Stock,Select exact variant for actuation force at capture
R13-R36,24,Input series limiter,1k 1%,0402,spec,Commodity,Stock,"18 encoder lines (6x A/B/SW) + 6 buttons. Limits injection to <5mA on a 5V short"
R37-R60,24,Input pull-up,10k 1%,0402,spec,Commodity,Stock,External not internal — defined state during MCU reset
C51-C74,24,Input filter,100nF,0402,spec,Commodity,Stock,~100us hardware debounce with the pull-up
J5;J6,2,Aux button connectors,JST-GH 2-pin,SM02B-GHS-TB,spec,Commodity,Stock,Parallel with BTN5/BTN6 — de-risks button placement
D7;D8,2,Aux button clamp,BAV99 dual series diode,SOT-23,BAV99,Active,Stock,Lines leave the board
